Time Of Stop,Location,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,State,VehicleType,Make,Model,Color,Violation Type,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type
21,13203 TWINBROOK PKWY,No,No,No,No,No,No,No,MD,02 - Automobile,MITSUBISHI,ECLIPSE,ORANGE,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
17,SB 29/GREENCASTLE RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,CHRYSLER,PT,PURPLE,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
12,GEORGIA AVE/ARCOLA AVE,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,BLUE,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
1,RANDOLPH / VEIRS MILL RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,GREEN,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol
18,ESWORTHY RD @ HARTLEY HALL PL,No,No,Yes,No,No,No,No,VA,02 - Automobile,HYUNDAI,SONATA,WHITE,Citation,Transportation Article,Yes,ASIAN,F,FAIRFAX,VA,VA,A - Marked Patrol
2,GRANDVIEW AVE / KENSINGTON BLVD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,CAMRY,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,WHEATON,MD,MD,A - Marked Patrol
13,13108 VALLEYWOOD DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,FOCUS,GRAY,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,B - Unmarked Patrol
16,LORAIN AVE @ UNIVERSITY BLVD W,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,GRAY,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
18,VEIRS MILL RD WB / NEWPORT MILL RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,NISS,PATHFINDER,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
5,12300 JUDSON RD,No,No,Yes,No,No,No,No,TX,02 - Automobile,KIA,SOUL,WHITE,Citation,Transportation Article,Yes,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol
18,E GUDE DRIVE/CALHOUN DR,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,CAMRY,BEIGE,Citation,Transportation Article,Yes,WHITE,M,OLNEY,MD,MD,A - Marked Patrol
15,GEORGIA AVE @ LAYHILL,No,No,No,No,No,No,No,MD,02 - Automobile,TOYOTA,RAV4,SILVER,Citation,Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol
16,SEVEN LOCKS RD @ TUCKERMAN LANE,No,No,Yes,No,No,No,No,MD,02 - Automobile,LINC,TK,BLACK,Citation,Transportation Article,Yes,BLACK,M,POTOMAC,MD,MD,B - Unmarked Patrol
8,MACARTHUR BLVD. @ VENDOME DRIVE  (SOUTH),No,No,No,No,No,No,No,MD,02 - Automobile,MERCEDES,S420,BLACK,Citation,Transportation Article,Yes,WHITE,F,POTOMAC,MD,MD,Q - Marked Laser
1,BEACH DR/ EAST WEST HIGHWAY,No,No,No,No,No,No,No,MD,02 - Automobile,AUDI,A4,BLACK,Citation,Transportation Article,Yes,WHITE,F,CHEVY CHASE,MD,MD,A - Marked Patrol
16,GERMANTOWN RD/CLOPPER RD,No,No,No,No,No,No,No,MD,02 - Automobile,MERCEDES,E50,SILVER,Citation,Transportation Article,Yes,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol
17,GEORGIA AVE / GOLD MINE,No,Yes,No,No,No,No,No,MD,02 - Automobile,FORD,TAURUS,TAN,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
20,NEW HAMPSHIRE AVE AT POWDER MILL RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,CIVIC,SILVER,Citation,Transportation Article,Yes,HISPANIC,M,WALDORF,MD,MD,A - Marked Patrol
15,MACARTHUR BLVD @ MARYLAND AVE,No,Yes,No,No,No,No,No,MD,02 - Automobile,LEXUS,RX350,BLACK,Citation,Transportation Article,Yes,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol
17,GEORGIA  AVE/COLESVILLE RD,No,No,No,No,No,No,No,MD,02 - Automobile,NISSAN,QIEST,"BLUE, DARK",Citation,Transportation Article,Yes,WHITE,M,BURTONSVILLE MD,MD,MD,A - Marked Patrol
0,3400 MAY ST,No,No,Yes,No,Yes,No,No,MD,02 - Automobile,TOYOTA,SU,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
17,QUINCE ORCHARD BLVD./FIRSTFIELD RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYT,CAMRY,BLACK,Citation,Transportation Article,Yes,ASIAN,M,GERMANTOWN,MD,MD,A - Marked Patrol
19,EAST VILLAGE AVE WB/ WELBECK WAY,Yes,No,No,No,No,No,No,MD,05 - Light Duty Truck,ACURA,MDX,BLACK,Citation,Transportation Article,Yes,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol
6,FATHER HURLEY @ CRYSTAL ROCK DR,No,No,No,No,No,No,No,MD,02 - Automobile,MAZDA,4 DR,SILVER,Citation,Transportation Article,Yes,WHITE,M,IJAMSVILLE,MD,MD,A - Marked Patrol
16,E/B RANDOLPH RD @ GLENALLEN AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,FORD,VN,WHITE,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
8,ROCKVILLE PIKE @ STRATHMORE AVE,No,No,Yes,No,No,No,No,MD,05 - Light Duty Truck,DODGE,DAKOTA,BLUE,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
17,GERMANTOWN RD@CLOPPER RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,SUBARU,OUTBACK,GREEN,Citation,Transportation Article,Yes,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol
15,CLOPPER RD@GERMANTOWN RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,SEQUOIAL,BLACK,Citation,Transportation Article,Yes,WHITE,F,BOYDS,MD,MD,A - Marked Patrol
3,"11803 GRANDVIEW AVE, SILVER SPRING, MD",No,No,No,No,Yes,No,No,MD,02 - Automobile,NISS,ALTIMA,RED,Citation,Transportation Article,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol
17,WOODFIELD RD/ AIRPARK RD.,Yes,No,Yes,No,No,No,No,MD,05 - Light Duty Truck,CHEV,EQUINOX,RED,Citation,Transportation Article,Yes,WHITE,F,MOUNT AIRY,MD,MD,A - Marked Patrol
11,ROCKING HORSE RD @ BOILING BROOK PKWY,No,No,No,No,No,No,No,KY,02 - Automobile,CHEVY,SONIC,SILVER,Citation,Transportation Article,Yes,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol
1,ARCTIC AVENUE / RUSSETT RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLA,GOLD,Citation,Transportation Article,Yes,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol
21,GREENWOOD AVE @ PINEY BRANCH RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,SCION,2S,GRAY,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
19,NB COLESVILLE RD/I-495,No,No,Yes,No,No,No,No,MD,02 - Automobile,JEEP,GRAND CHEROKEE,TAN,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol
21,118 @ AIRCRAFT DR,No,No,No,No,No,No,No,MD,02 - Automobile,BUICK,LACROSSE,WHITE,Warning,Transportation Article,Yes,BLACK,M,GERMANTWN,MD,MD,A - Marked Patrol
18,CENTERWAY RD @ CLUB HOUSE RD,No,No,No,No,No,No,No,MD,02 - Automobile,NISS,4S,WHITE,Citation,Transportation Article,Yes,BLACK,M,NEW YORK,NY,NY,A - Marked Patrol
13,MUDDY BRANCH RD / KING JAMES WAY,No,No,No,No,No,No,No,FL,02 - Automobile,DODGE,JOURNEY,BLACK,Citation,Transportation Article,Yes,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol
13,TUCKERMAN LA @ SUGARBUSH LA,No,No,No,No,No,No,No,MD,08 - Recreational Vehicle,LEXUS,RX330,GOLD,Citation,Transportation Article,Yes,BLACK,F,ROCKVILLE,MD,MD,A - Marked Patrol
2,11441 AMHERST AVE,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,TK,WHITE,Citation,Transportation Article,Yes,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol
11,RANDOLPH RD/ATHERTON DR,Yes,Yes,No,No,No,No,No,MD,28 - Other,TOYOTA,4RUNNER,BLACK,Citation,Transportation Article,Yes,BLACK,F,CLINTON,MD,MD,A - Marked Patrol
15,24700 PEACH TREE ROAD,No,No,No,No,No,No,No,MD,02 - Automobile,PLYM,NEON,RED,Citation,Transportation Article,Yes,WHITE,M,SABILLASVILLE,MD,MD,A - Marked Patrol
22,BEL PRE @ GRAND PRE,No,No,No,No,No,No,No,MD,02 - Automobile,OLDSMOBILE,4D,GREEN,Citation,Transportation Article,Yes,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol
19,VEIRS MILL RD/PARKLAND DR,No,No,No,No,No,No,No,DC,02 - Automobile,FORD,CROWN VICTORIA,BLUE,Citation,Transportation Article,Yes,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol
17,28800 RIDGE ROAD,No,Yes,No,No,No,No,No,PA,05 - Light Duty Truck,DODGE,RAM,TAN,Citation,Transportation Article,Yes,WHITE,M,DALLASTOWN,PA,PA,A - Marked Patrol
17,COLESVILLE RD/DALE DR,No,No,No,No,No,Yes,No,MD,06 - Heavy Duty Truck,ACURA,MDX,MAROON,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol
13,WARFIELD RD AND WOODFIELD RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,VN,GRAY,Citation,Transportation Article,Yes,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol
18,NICHOLSON LANE AND ROCKVILLE PIKE,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHEV,2S,ORANGE,Citation,Transportation Article,Yes,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol
21,N/B ROCKVILLE PIKE AT WOOTTON PKWY,No,No,Yes,No,No,No,No,MD,02 - Automobile,HOND,CIVIC,BLUE,Citation,Transportation Article,Yes,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol
10,FREDERICK RD @ ROSECREST DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,HONDA,CCORD,MAROON,Citation,Transportation Article,Yes,HISPANIC,M,CLARKSBURG,MD,MD,A - Marked Patrol
1,NEW HAMPSHIRE AVE @ RANDOLPH RD,No,Yes,No,No,No,No,No,MD,02 - Automobile,HONDA,4S,WHITE,Citation,Transportation Article,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol
18,FIELDS RD. @ RIO BLVD.,No,No,No,No,No,No,No,MD,02 - Automobile,HONDA,4S,"BLUE, LIGHT",Citation,Transportation Article,Yes,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol
17,1776 E  JEFFERSON STREET,Yes,Yes,No,No,No,No,No,MD,28 - Other,ACURA,RSX,SILVER,Citation,Transportation Article,Yes,OTHER,M,BETHESDA,MD,MD,A - Marked Patrol
20,5802 GROSENOR LN,Yes,Yes,No,No,No,No,No,MD,02 - Automobile,LEXU,4S,SILVER,Citation,Transportation Article,Yes,ASIAN,F,POTOMAC,MD,MD,A - Marked Patrol
11,VEIRS MILL RD @ RANDOLPH RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,HOND,PILOT,BLACK,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol
9,E GUDE DRIVE @ FREDERICK RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYT,COROLLA,TAN,Citation,Transportation Article,Yes,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol
1,RANDOLPH / VEIRS MILL RD,No,No,Yes,No,No,No,No,MD,02 - Automobile,TOYOTA,COROLLA,GREEN,Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol
17,NEW HAMPSHIRE AVE/OAKVIEW DR,No,No,Yes,No,No,No,No,MD,02 - Automobile,CHEVROLET,ASTRO,WHITE,Citation,Transportation Article,Yes,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol
10,COLESVILLE RD/ UNIVERSITY BLVD,No,Yes,No,No,Yes,No,No,MD,02 - Automobile,TOYT,COROLLA 4D,"GREEN, LGT",Citation,Transportation Article,Yes,HISPANIC,M,SILVER SPRING,MD,MD,B - Unmarked Patrol
21,SUGARBUSH LA @ TUCKERMAN LA,No,No,No,No,No,No,No,MD,02 - Automobile,MAZD,SU,BLACK,Citation,Transportation Article,Yes,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol
15,I270 SB CD BTWN I370 AND SHADY GROVE RD,No,No,No,No,No,No,No,NC,03 - Station Wagon,DODGE,RAM VAN,RED,Citation,Transportation Article,Yes,BLACK,F,STATESVILLE,NC,NC,A - Marked Patrol
